shape,latitude,longitude,radius,name,value
circle,29.7865712,-98.01790047,6,HAYSEN1_2,12.24083333
circle,29.22552086,-99.72201818,6,HELIOS_RN,13.41166667
circle,29.99228966,-98.91601656,6,HHGT_KENDAL,13.06583333
circle,32.21778934,-100.0444188,6,HHOLLW2_WND1,12.485
circle,31.11439034,-101.35705,6,HICK_G1_G2,13.03583333
circle,32.72273464,-97.23492747,6,HLSES_UNIT3,12.88916667
circle,33.28378498,-99.56081785,6,HORSECRK_RN,12.74166667
circle,30.94607524,-103.3605398,6,HOVEY_GEN,14.79166667
circle,34.76121754,-102.3012234,6,HRFDWIND_ALL,15.03083333
circle,32.81624303,-99.28447444,6,HWF_HWFG1,13.31
circle,32.49831451,-100.5971056,6,IND_INADALE1,13.31
circle,27.89770173,-97.25795609,6,INGLCOSW_CC1,12.395
circle,30.74035678,-98.40938697,6,INKS_INKS_G1,13.41916667
circle,33.0967682,-97.97184324,6,JACKCNTY_CC1,12.65916667
circle,28.15952522,-97.78761429,6,KARAKAW1_1,14.8175
circle,33.11546988,-98.24818665,6,KEECHI_U1,12.47416667
circle,30.81516349,-102.3703092,6,KEO_KEO_SM1,13.84083333
circle,33.56431015,-96.33681138,6,KMCHI_CC1,15.09333333
circle,32.74143632,-101.9557941,6,LAMESASLR_G,10.25916667
circle,27.5797732,-99.51476062,6,LARDVFTN_G4,13.145
circle,30.36632322,-103.5217401,6,LASSO_GEN,13.03333333
circle,31.41361719,-96.29075415,6,LEG_LEG_G1,13.46916667
circle,29.35643261,-98.59361591,6,LEONLCPCT1_2,12.83083333
circle,31.09568866,-100.6201343,6,LGD_LANGFORD,12.615
circle,31.84375578,-98.708759,6,LGW_UNIT_ALL,14.62416667
circle,34.33107895,-101.3109928,6,LHORN_N_U1_2,13.425
circle,32.83494471,-96.56709756,6,LHSES_UNIT1,14.81916667
circle,32.51701619,-99.56081785,6,LNCRK_ALL,14.83
circle,32.49831451,-100.7122487,6,LONEWOLF_ALL,16.87666667
circle,30.14190308,-97.30401332,6,LOSTPI_CC1,13.03583333
circle,33.62041519,-95.62292424,6,LPCCS_CC1,14.9525
circle,26.28935742,-97.62641397,6,LV1A_LV1B,12.55416667
circle,26.49507588,-98.63967315,6,LV3_RN,13.47
circle,26.51377756,-98.54755868,6,LV4_UNIT_1,13.49916667
circle,30.55334,-98.27121526,6,MARBFA,12.67583333
circle,34.66770915,-102.6696812,6,MARIAH_ALL,12.61
circle,30.3850249,-97.925786,6,MAR_MARSFOG1,13.04166667
circle,32.03077256,-101.2879642,6,MCDLD_FCSBW1,13.30666667
circle,32.72273464,-96.95858406,6,MCSES_UNIT6,14.22333333
circle,32.4235078,-97.07372715,6,MDANP_CT1_2,14.82666667
